Gyro_X,Gyro_Y,Gyro_Z,Acc_X,Acc_Y,Acc_Z
-0.0290,0.0408,0.0546,-0.3244,1.4425,8.4144
-0.0264,0.0437,0.0458,-0.2191,1.4425,8.4910
-0.0432,0.0389,0.0522,-0.2550,1.5407,8.4491
-0.0341,0.0597,0.0373,-0.2586,1.4760,8.5293
-0.0253,0.0296,0.0618,-0.2167,1.5107,8.3785
-0.0448,0.0533,0.0394,-0.0910,1.4832,8.5401
-0.0218,0.0669,-0.0043,-0.1628,1.4688,8.6862
0.1290,-0.2049,0.2729,-0.7470,1.5718,10.5249
0.3722,1.0349,2.4269,9.1040,2.8922,17.2610
0.6622,0.1450,0.6411,37.2286,-0.6823,19.8695
3.8885,-1.4080,-8.7314,9.8713,-24.1790,13.0352
2.1146,-0.5305,-5.6578,-39.2266,-17.0288,-0.8128
0.3922,-0.7762,1.8810,-16.5559,-6.3135,-5.6623
-0.2750,-1.5082,1.4285,-5.2062,-4.2413,-18.7310
-4.6772,-3.3617,2.2591,-4.2294,-7.6543,-23.9288
-8.7314,-0.7810,4.3407,28.8657,-23.4692,39.2254
2.2833,-0.7549,-3.1054,10.3070,-4.8147,18.0906
0.1548,1.4821,-0.3453,2.3942,1.7526,17.8835
1.0078,-1.0547,-0.6552,2.4086,-0.4477,7.5106
0.3072,-0.1330,-0.3512,0.6009,-0.6416,4.1180
-0.1825,0.3632,-0.0869,0.6141,-0.9876,8.3761
-0.1705,0.3504,0.1831,1.8699,-0.9685,8.0637
-0.2809,0.7384,0.0413,3.4273,-0.9409,10.4315
0.3285,0.2475,-0.1860,1.8292,-0.6285,11.3557
0.3184,0.4610,-0.2462,0.2119,-0.7685,12.2607
1.0730,0.7274,0.1220,-3.5063,-2.3966,17.2861
2.2561,0.9366,1.1442,-5.2194,-2.9006,13.7415
2.5383,0.7647,2.1602,-1.7370,-2.0423,7.1670
1.7925,1.4637,2.5871,0.3112,-0.1425,4.1360
0.6091,1.7515,2.5666,1.5000,1.2833,2.3906
-0.5415,1.4043,2.0720,4.2114,1.3132,2.9090
-1.6105,0.0341,1.2841,4.7297,2.0446,5.6180
-0.8015,0.2126,1.0752,3.9061,1.1947,8.7700
-0.3083,-0.2737,0.3568,4.7393,2.1440,9.5648
0.2332,-0.3914,-0.3240,2.0458,2.3511,8.6407
-0.0248,-0.1889,-0.3070,-0.0359,2.5989,7.5154
-0.1516,0.0192,-0.0799,-0.1736,2.2757,9.2320
0.1053,-0.0821,-0.0546,-0.8428,2.1416,9.2464
0.1079,-0.0091,0.2569,-0.0982,2.4445,7.9727
0.0341,0.0533,0.3792,1.1636,2.6396,7.4903
-0.1793,0.0962,0.2475,2.1871,2.9688,6.9372
-0.3038,0.0064,0.0613,1.1768,2.7557,7.5992
-0.3453,0.0112,0.0621,0.8320,2.2601,9.0249
-0.2022,0.1074,0.2049,0.1317,1.7705,9.7252
-0.1972,-0.3960,1.1111,3.2908,3.1987,5.9245
-1.5801,1.1951,1.0387,25.6479,-0.0132,20.2166
3.4795,-1.0856,-5.9669,21.9955,-9.3733,22.8443
3.1125,-0.1375,-7.5899,-19.1931,-14.4622,-1.2953
0.9276,-1.1799,-1.3350,-19.7198,-5.1571,-7.4555
-0.9758,-1.2913,-0.2204,-11.6825,-4.2294,-14.4322
-4.4680,-2.4088,1.7150,-9.0166,-8.1690,-18.0690
-7.9696,-2.7981,3.8632,15.1673,-14.8548,16.5511
-1.2548,1.2361,-1.4781,25.1667,-9.1626,39.2254
1.4128,0.9134,-2.0582,-4.2341,-1.4377,15.2008
0.9870,0.1884,0.1370,-2.4936,-0.2107,1.9381
-0.7525,0.3163,0.8537,4.8937,-1.9261,5.5701
-0.2068,-0.0727,-0.1418,2.3727,-1.9381,11.2492
-0.3086,0.2164,0.1839,2.1859,-1.1109,7.9942
-0.1226,0.1751,-0.0981,2.7330,-2.2948,14.1880
0.8079,0.1346,-0.0197,0.1568,-2.1775,12.9550
1.2801,0.5726,0.4069,-1.3096,-2.1081,14.2275
1.9660,0.6177,0.8207,-2.7785,-2.5391,14.2886
2.2988,1.1772,1.7507,-2.9461,-2.0183,9.2620
2.0403,1.3057,2.3366,-0.6979,-0.8356,6.6128
1.0717,1.1863,2.1320,1.6017,0.9182,1.3216
-0.5409,0.7128,2.0145,1.4222,0.7542,2.0051
-0.4431,0.0408,1.9295,3.4656,1.9800,5.9113
-0.9142,0.0839,1.3483,6.1423,0.7506,4.8052
-0.4037,0.1010,0.5388,2.0351,-0.2945,11.7555
0.1418,-0.0061,0.4362,2.0626,1.7298,6.6846
-0.2254,0.0682,0.1474,2.0423,2.5175,8.0397
-0.2377,0.2004,0.0677,0.6512,2.2098,7.8530
-0.1561,-0.0139,-0.1255,0.5387,1.7286,9.6582
0.0280,-0.0885,0.0099,-0.2801,1.7765,8.6850
-0.0264,0.0021,0.2603,1.0451,2.0746,8.8502
-0.0131,-0.1316,0.1548,1.9465,2.3750,7.9128
