Gyro_X,Gyro_Y,Gyro_Z,Acc_X,Acc_Y,Acc_Z
0.7474,-0.3491,0.4847,6.8498,-4.0450,5.6048
0.6789,-0.2713,0.4151,7.1982,-3.7362,4.9847
0.7823,-0.3445,0.5164,7.2903,-3.9085,5.1080
0.4815,-0.3845,0.3659,8.3019,-3.4632,4.4185
0.3094,0.0773,0.2140,7.4879,-3.2872,5.0985
0.3453,-0.3336,0.2281,7.8326,-3.2920,4.9931
0.4327,0.1364,0.2022,8.2971,-3.2334,4.4712
0.3168,0.0999,0.0903,7.8937,-3.1843,4.8650
0.3592,0.0850,0.1303,7.7488,-3.0251,4.3371
0.1812,0.0600,0.1274,7.9428,-2.8132,4.2701
0.0759,0.1172,0.0000,7.9284,-2.7485,4.6196
0.0629,0.0285,0.0408,8.0206,-2.7593,4.4939
-0.0786,0.1476,-0.0743,7.9978,-2.8383,5.0865
0.1023,0.0640,-0.2286,7.6686,-2.8311,4.9704
-0.0536,0.1274,-0.1633,7.1216,-2.8192,5.1344
-0.0488,0.0349,0.0208,7.3921,-2.7222,5.4037
0.0272,0.0781,-0.1228,7.5058,-2.7294,5.3307
-0.0655,0.0608,-0.1394,6.9097,-2.5642,5.3858
0.0941,0.0693,0.0016,6.8115,-2.5259,5.5450
0.0117,0.0224,0.0304,7.1635,-2.5295,5.4636
0.0530,0.1047,0.0458,7.3107,-2.4756,5.3774
0.1199,0.1119,-0.0024,7.1826,-2.3415,5.0302
-0.1322,0.1444,0.0818,7.0533,-2.0710,5.6108
0.0951,0.2651,0.0234,7.0892,-2.2410,5.6671
0.0661,0.0338,0.1010,7.2712,-2.2877,5.3630
0.0293,0.3179,0.0045,7.1635,-2.6683,5.7952
0.0597,0.0195,0.0538,6.5505,-2.5438,5.9699
0.1138,0.1471,0.2174,7.2353,-2.3463,5.5067
-0.0312,0.1745,0.0693,7.2496,-2.2805,5.9077
0.1290,0.1687,0.0882,7.0581,-2.4624,5.8119
0.0637,0.0962,0.0077,6.7528,-2.6217,5.6156
-0.0189,0.0536,0.1124,7.0497,-2.3774,5.8059
-0.0221,0.1100,-0.0504,6.7696,-2.1261,6.2549
0.0616,0.0333,0.0488,6.4703,-2.2134,5.7425
-0.0578,0.0085,0.0509,6.9049,-2.1404,5.9616
0.0179,0.1135,-0.0538,6.9827,-2.4852,6.1471
-0.0882,0.0434,-0.0229,6.4847,-2.0746,6.2177
0.0448,0.0528,0.0408,6.9360,-2.1739,5.9843
-0.0746,0.0344,0.0589,6.7828,-2.1476,6.0920
0.0051,-0.0032,-0.0096,7.2221,-2.1979,6.1854
0.0648,-0.0346,-0.1268,6.2704,-2.1261,5.9388
-0.0229,-0.0410,0.0967,6.6307,-2.1548,5.8957
-0.0466,0.0640,-0.0037,7.0641,-2.1153,6.2165
0.0237,0.0280,-0.0048,6.6224,-2.1308,5.9915
-0.0576,0.0735,0.0168,6.6020,-2.0794,5.8347
-0.0901,-0.0282,0.0586,6.5338,-2.0075,5.7880
0.0096,-0.0922,0.0605,6.8295,-2.1428,5.9675
-0.0488,0.0634,0.0440,6.5613,-2.1392,5.8730
-0.0927,0.0416,0.1050,6.6367,-2.1081,5.9508
0.0898,0.0341,0.1066,6.9276,-2.3703,5.8179
-0.0091,0.2763,0.0362,6.7792,-2.0363,5.2349
0.0123,0.1362,0.1082,7.1192,-1.9453,4.9644
-0.5764,0.2406,-0.0621,7.9535,-2.3619,7.3909
0.5247,0.1556,-0.1239,7.7321,-2.1009,6.3099
-0.2030,0.1697,-0.2417,7.5729,-2.0039,5.5749
-0.0333,0.0970,-0.3203,6.3422,-2.1775,6.5601
-0.0280,0.0837,0.0056,6.3470,-1.9465,6.1543
-0.0719,-0.0349,0.0853,6.5673,-1.8411,6.1495
-0.0429,-0.0024,0.0658,7.1216,-1.9609,5.8407
-0.1761,-0.0165,-0.0903,6.6152,-1.9884,5.8335
-0.0504,-0.0242,0.0282,6.7708,-1.9848,6.1603
-0.1119,0.1537,-0.0224,6.8426,-1.9680,5.7832
-0.0711,-0.0725,-0.0280,6.5529,-1.9764,6.1818
-0.0437,0.0767,0.0261,6.8115,-1.9585,6.2956
0.0765,0.0994,-0.0477,6.6331,-1.9740,5.9101
-0.0304,-0.0605,0.0621,6.8726,-1.8998,5.8442
-0.0802,0.0155,-0.0541,6.7205,-1.9609,6.0597
0.0029,-0.0954,0.0413,6.6798,-2.0399,6.0382
-0.1045,-0.1514,0.0906,6.9061,-1.9848,6.2010
0.0573,-0.4383,-0.0181,6.5649,-1.9704,6.4536
0.1279,-0.9777,0.1252,6.8031,-2.0231,6.7277
0.3661,-1.5892,0.1721,7.3670,-1.9644,6.4512
0.4223,-0.7530,0.2811,7.3310,-1.9166,6.3722
0.5702,-1.2745,0.5923,8.2037,-2.1991,6.4212
0.9707,-0.8641,0.6843,9.0644,-2.3379,5.4253
0.9049,-0.9241,0.5660,9.7636,-2.2134,3.8798
0.9561,-0.9792,0.3896,9.9467,-2.2434,3.1927
1.1839,-0.9316,0.2566,9.9527,-2.4229,3.0466
1.2228,-1.0269,-0.0160,10.6530,-2.1775,1.9429
1.1935,-0.5870,-0.2803,10.0616,-1.7789,0.9673
1.1327,-0.8529,-0.2625,10.6710,-1.5634,0.5902
1.1314,-0.3920,-0.6281,10.6985,-1.4329,0.2430
1.2308,-0.4223,-1.1732,9.9024,-0.6716,-0.5495
0.7719,-0.4538,-0.8335,10.1035,0.5136,-0.8009
0.7056,-0.2702,-0.6632,10.9858,0.6668,-1.1959
