Gyro_X,Gyro_Y,Gyro_Z,Acc_X,Acc_Y,Acc_Z
1.3712,-0.1346,-0.0879,7.4316,1.3946,5.6395
0.8934,0.2912,-0.3243,7.7153,2.0482,5.3415
0.5407,0.1338,-0.3635,7.7237,2.4157,5.7988
0.6041,0.3794,-0.5620,7.2185,2.6480,6.0370
0.6395,0.2843,-0.5500,7.1599,3.3112,5.3570
0.2809,0.3738,-0.5596,7.1024,3.9564,5.5378
0.2982,0.7389,-0.7877,6.9779,4.1432,5.4636
0.0136,0.7970,-0.9238,6.1866,4.2737,5.1212
-0.0051,0.7226,-1.1034,5.4743,4.6256,5.4791
0.0080,0.6342,-1.1197,4.5897,4.8435,5.0673
-0.4506,0.7304,-0.9992,3.7781,4.8722,5.1200
-0.7266,0.6829,-0.7829,2.6911,4.7752,5.5270
-0.8132,0.3493,-0.7687,1.8890,4.4221,6.3099
-1.0328,0.3986,-0.4021,1.6903,4.0618,6.7576
-1.0872,0.4167,-0.3528,2.3236,3.7948,7.7883
-1.0056,0.4658,-0.3824,1.1648,3.4560,7.5322
-1.1330,0.0496,-0.3571,1.6580,2.7940,8.2528
-0.7695,0.2012,-0.2129,1.1911,2.5977,7.8650
-0.9862,-0.2337,-0.2403,1.4329,2.0758,8.1810
-0.8386,-0.2414,-0.0469,1.3755,1.8830,8.2803
-0.9094,-0.3248,0.0733,1.1360,1.1444,7.7740
-1.1103,-0.4175,0.2443,2.4588,0.6572,9.0453
-0.5934,-0.4572,0.4080,1.0654,0.4142,8.1882
-1.0480,-0.4005,0.4477,3.5207,-0.2370,8.6323
-0.7949,-0.5758,0.3349,3.1939,-0.9481,10.1658
0.0053,-0.1892,0.2606,2.4181,-0.9984,8.7376
-0.5052,-0.2710,0.5556,2.5067,-1.1145,8.0158
-0.2888,-0.4767,0.8548,2.5762,-1.4401,8.4264
-0.3413,-0.4943,1.0733,3.7625,-1.9190,9.0513
0.3589,-0.7719,0.7669,4.0211,-1.7813,8.6634
0.3989,-0.8863,0.4959,4.6591,-1.3276,7.9571
0.5780,-0.3280,0.4852,4.2988,-1.6783,7.9583
0.5004,-0.1607,0.7698,4.4855,-1.3360,7.5597
0.3762,-0.5183,0.5745,5.3498,-1.3683,8.1642
0.8042,-0.3392,0.6107,5.3834,-1.1504,7.3298
0.5119,-0.5598,0.3661,6.1172,-0.8547,7.5513
1.0741,-0.0360,0.2856,5.9580,-0.9313,8.3055
1.3872,-0.3182,0.1362,6.4991,-0.3879,7.9954
1.4328,-0.3661,-0.1458,6.9324,0.2227,8.2684
1.5775,-0.1332,-0.4231,6.4177,1.2354,5.8754
0.4818,0.3352,-0.3094,6.4751,2.0518,6.9396
0.7679,0.0837,-0.5441,6.4129,2.3583,7.0318
0.7416,0.3246,-0.4650,6.7277,2.7426,6.6272
0.6765,0.4287,-0.7344,6.3075,3.3686,5.7353
0.3171,0.5007,-0.9654,5.4983,3.7900,5.7521
0.2097,0.1111,-0.9126,4.7262,4.0522,5.9628
0.1053,0.0869,-1.0014,4.3838,4.3503,5.4564
-0.1868,-0.1620,-0.7842,3.9995,4.5095,5.6719
-0.4165,0.2246,-0.6832,4.2748,4.3610,6.1986
-0.4042,0.0602,-0.7506,2.8718,4.5035,5.7832
-0.7759,0.2435,-0.3456,3.3854,4.2270,6.3770
-0.7901,0.3035,-0.3091,3.3016,3.9959,6.7086
-1.0179,0.2590,-0.2545,2.4050,3.7457,6.7600
-1.1727,0.3166,-0.2451,3.3615,3.1544,7.8482
-0.8692,0.1178,-0.3230,2.3116,2.9700,7.9535
-0.7906,0.2065,-0.0797,2.6827,2.3703,8.2768
-0.8942,-0.2244,-0.0938,2.0231,1.9824,7.9895
-0.7546,-0.1564,0.0554,2.3152,1.5886,8.4312
-0.6638,-0.2225,0.1655,2.9748,1.3779,8.3103
-0.7330,-0.4951,0.3579,2.4972,1.3156,7.1658
-1.1786,-0.2931,0.5204,3.4895,0.4585,7.7644
-0.9896,-0.6025,0.8159,2.7222,-0.2801,8.1487
-0.6835,-0.1887,0.8839,4.5023,-0.6512,7.9811
-0.8503,-0.9140,0.8252,3.9540,-1.5622,8.7436
-0.1617,-0.3754,0.6880,4.6100,-1.8040,8.8837
0.0978,-0.7029,0.7083,3.7385,-1.9046,8.5078
0.3307,-0.6352,0.7485,5.5186,-1.9477,7.8937
0.3259,-1.4240,-0.0549,5.7940,-1.6065,7.7165
0.7565,-0.7144,0.7834,5.3379,-1.7083,7.5106
0.5510,-0.6544,0.6448,7.0629,-1.6293,7.4484
1.4727,-1.2862,0.4226,7.1623,-1.3336,7.7297
1.7158,-0.6656,0.1234,7.9224,-0.9301,6.4835
1.7174,-0.3192,-0.0354,7.7560,-0.2358,6.2644
1.8165,-0.4303,-0.0125,8.2337,0.5531,5.1954
1.2452,-0.3269,-0.1700,8.0110,1.3587,4.8985
0.8111,-0.2534,-0.2646,8.6706,1.8328,4.9416
0.9649,-0.0602,-0.4919,8.0649,2.2661,4.6519
0.6403,-0.0373,-0.5095,8.5162,2.9078,3.9217
0.3635,0.2769,-0.6795,8.0050,3.2310,4.6843
0.4820,0.3962,-0.7226,7.5238,3.6512,4.8207
0.4194,0.4434,-0.7719,7.4436,4.0689,4.9500
0.2598,0.5335,-0.7554,7.4424,4.6531,4.7549
0.2142,0.7237,-0.9369,6.7133,4.7944,4.3347
-0.3224,1.0062,-0.9569,6.0047,4.9584,4.3622
-0.2230,1.1178,-0.8556,5.2493,4.8255,5.0506
-0.2052,1.0816,-0.9811,4.7932,4.9775,4.4580
-0.5476,1.2542,-1.0360,3.8607,5.0194,4.6687
-0.4543,0.8084,-1.3398,1.9357,5.2230,5.3427
-0.9718,0.5590,-0.5145,1.5107,5.3786,5.7616
-0.9425,0.4738,-0.3925,2.0506,4.9500,7.2329
-0.8945,0.4231,-0.3461,1.4976,4.5406,7.3849
-0.9318,0.3408,-0.2955,1.1037,4.2641,7.4340
-1.3219,0.0386,-0.1444,0.8906,3.5338,7.8254
-1.1812,0.3429,-0.0965,0.3508,3.0347,7.8362
-1.7176,0.3083,0.2558,0.6919,1.9609,8.1954
-1.0016,-0.1969,-0.0424,0.6093,1.3384,8.3534
-1.8111,0.0458,0.3317,1.1013,0.6261,8.5832
-1.1066,-0.4879,0.0386,-0.0778,0.0395,9.2249
-1.0914,-0.7837,0.5907,1.5490,-0.6452,8.6335
-0.9062,-0.5998,0.3493,1.0762,-1.0116,8.2313
-1.0669,-0.5905,0.5228,2.1811,-1.7633,9.4798
-0.1759,-0.7461,0.7160,1.6472,-2.3188,10.2999
0.6318,-0.6161,0.6579,2.6181,-2.0303,9.6414
0.7408,-0.7368,0.7456,3.1041,-1.6616,8.8777
0.8167,-0.4490,0.6190,3.5458,-1.5682,8.6036
1.1018,-2.0507,0.8908,2.6995,-1.2234,9.0405
1.7187,-0.8090,0.5031,6.7133,-0.8583,8.8190
1.8114,-0.2518,0.3869,5.9939,0.2035,7.4172
1.5338,-0.3397,0.1015,7.0773,1.0092,6.8582
1.3272,-0.4770,-0.1324,6.7983,1.6987,6.7265
0.7237,0.0155,-0.2670,7.1120,2.1835,6.2620
0.7256,-0.3512,-0.4389,6.4715,2.4972,7.0126
0.5548,0.1202,-0.7133,6.6283,2.8551,6.7720
0.8719,0.5263,-0.5806,6.5422,3.6883,5.7832
0.6147,0.5249,-0.9617,6.7277,4.5478,4.6328
0.4032,0.6209,-1.2564,5.2086,4.8459,4.9333
0.1692,0.4053,-1.2393,4.5047,5.0769,4.8878
-0.1479,0.2571,-1.2662,2.8240,5.1942,5.0937
-0.3555,0.1071,-0.8306,2.5498,5.2888,5.3044
-0.6158,-0.0328,-0.3901,2.7988,5.2230,5.5569
-0.6819,0.1873,-0.7581,3.0215,4.8183,6.0118
-0.9462,0.3826,-0.5793,1.6580,4.3586,6.1483
-0.9886,0.2883,-0.4487,1.4988,4.3610,6.7959
-1.2692,0.2705,-0.2467,1.5682,3.8714,7.1718
-0.7000,0.1034,-0.3144,1.5071,3.4848,7.9272
