Gyro_X,Gyro_Y,Gyro_Z,Acc_X,Acc_Y,Acc_Z
-0.1295,0.0045,0.0855,0.4465,-0.9565,8.3210
-0.0943,0.0171,0.1247,1.2330,-1.1097,8.9423
-0.0570,0.0877,0.0131,1.5634,-1.1863,9.0513
0.0384,0.1231,-0.0498,1.3982,-1.1887,9.0501
0.0690,0.1170,-0.1641,1.3563,-0.7877,7.6818
-0.1276,-0.0096,-0.1716,0.2729,-0.6728,7.5549
-0.1836,-0.0370,-0.0157,0.6919,-0.9960,8.8992
-0.0573,0.0754,-0.0837,1.1408,-1.3072,9.5780
0.0618,0.1391,-0.0903,0.5195,-1.2869,9.0776
0.0733,0.1127,-0.0013,0.4405,-0.8224,7.5848
-0.0933,0.0354,0.0224,-0.0970,-0.8475,8.4252
-0.0640,-0.0029,0.1559,0.6201,-1.0630,8.5688
-0.0586,0.0344,0.1103,0.9134,-1.3659,9.6953
0.0077,-0.5031,0.1679,3.2968,-1.8747,15.1852
1.3392,0.8100,-0.4501,4.8866,-1.0068,24.5274
4.7175,-1.6478,-1.2060,5.8000,-1.9824,20.6308
4.6474,0.1569,-2.9396,7.3382,0.0204,-1.0032
1.5151,1.1463,-3.1083,-2.3559,0.6369,-6.9791
0.1415,2.7073,-2.4232,-5.1739,-5.9759,3.6895
1.2894,2.0669,-2.9551,-25.0841,-18.9046,-8.0062
-3.9426,1.0834,7.2337,-39.2266,-31.2671,-16.2351
-7.3725,0.4146,8.7312,-0.7087,-39.2266,11.9339
-5.3069,0.6771,5.9573,39.2254,-21.3659,39.2254
0.0735,0.4229,0.9204,10.9547,0.2526,18.7586
-0.0187,1.2289,-1.2260,33.5511,-2.3451,8.5174
0.0746,1.0853,-5.9693,32.9765,-14.5137,1.1684
-1.0621,-0.9009,-8.7314,17.2610,-36.8300,12.1482
0.8519,-1.2039,-8.7314,-39.2266,-38.6448,17.7291
-0.0282,0.4738,1.9454,-18.1959,-6.8797,13.0041
-0.0703,0.0069,2.2551,4.4113,2.6061,4.5933
-0.7099,0.8076,0.9651,12.0249,0.7003,10.7655
0.3328,0.0120,-0.9875,2.3715,-1.3048,11.0014
0.2294,0.1492,-0.2566,-1.3683,-0.9972,7.4807
0.2020,-0.0224,-0.0048,-0.5686,-1.2294,9.4320
0.1820,-0.1673,0.2521,-0.0694,-0.8535,7.0330
-0.1945,0.3547,0.3152,1.0630,-0.3448,7.7452
-0.3589,0.4122,0.1316,2.2051,0.0742,11.0684
0.1703,0.4927,-0.1061,3.9109,-0.4310,19.3380
2.2170,0.3595,-0.7631,3.0921,-1.0630,18.6832
3.2722,0.3048,-1.0464,0.7638,-0.3962,9.6450
3.0142,-0.0823,-0.8559,0.5004,1.2222,4.1156
1.6763,0.4271,-1.3073,0.7649,1.8998,1.4473
0.8551,0.0818,-0.8932,-4.9213,1.9429,1.5646
-0.0104,0.4674,0.4943,-2.5570,2.3739,2.9305
-0.4562,0.5247,0.7389,-0.1592,3.4022,5.6060
-0.2166,-0.0957,0.4159,0.5351,4.2533,6.5302
-0.3445,-0.1023,0.3445,0.6680,4.7669,6.6343
-0.4109,-0.0773,0.3027,0.5650,4.8207,7.9344
-0.2182,0.0115,0.1927,1.6161,4.7764,8.9950
-0.0584,-0.1127,-0.1258,0.8799,4.7812,8.1367
-0.0472,-0.0288,-0.0917,-0.3460,4.5071,8.1499
-0.0989,-0.0440,0.1314,-0.2490,4.2856,8.1259
0.0171,0.1351,0.1340,0.0790,4.2844,8.1271
-0.1367,0.2158,0.1274,-0.2191,4.3060,6.6571
-0.1913,0.1537,0.2566,-0.2466,4.1587,7.3167
-0.1703,0.1007,0.2710,0.5866,4.0306,7.3059
-0.1005,0.0474,0.0973,0.3388,4.3311,7.0880
-0.1927,0.1106,0.0682,0.6369,4.2569,7.3909
-0.2020,0.0179,-0.0727,0.4214,4.2425,7.4244
-0.3834,0.1103,-0.0544,-0.1305,3.9887,7.8278
-0.2204,-0.1231,-0.0533,0.3759,3.7086,8.8645
0.0245,0.1100,-0.0703,-0.0204,3.7984,7.8973
-0.0139,0.0429,0.0440,0.0754,3.8343,7.9679
0.0005,0.1298,0.0600,0.5782,3.9217,7.7955
0.0352,0.0322,-0.0586,-0.1089,3.7649,8.0864
0.0474,0.0813,0.0397,0.4046,3.8822,7.7991
0.0549,0.0589,-0.0181,0.0946,4.0917,7.6004
-0.0021,0.0837,-0.0711,0.3915,4.0510,7.6255
0.0282,0.0562,-0.0826,-0.1963,4.0749,7.6112
-0.0405,0.0176,-0.0149,0.0862,4.1228,7.6243
-0.0003,0.0378,-0.1087,0.0192,4.0414,7.8829
-0.0088,0.0783,-0.0173,-0.2286,4.0462,7.7788
0.0037,0.0584,-0.0101,-0.1077,4.1958,7.5860
-0.0754,0.1186,0.0493,-0.0467,4.1324,7.6626
-0.0637,0.1295,0.0288,0.2203,4.1647,7.7704
-0.0397,0.1482,-0.0274,-0.1341,4.1108,7.6483
-0.0802,0.1609,0.0187,0.0670,4.0115,7.9859
-0.0083,0.1071,-0.0805,0.0132,3.8738,7.9799
0.0232,0.1362,0.0053,-0.3196,3.6188,8.2001
0.0983,0.2395,-0.0043,-0.1915,3.4680,7.9284
0.2931,0.8023,-0.2726,-1.5993,2.7665,6.6487
0.5113,1.9177,-0.9942,-6.1615,-1.2067,2.6001
0.1564,1.6822,-0.2603,-21.9704,-6.7828,-3.8702
-3.0275,0.1617,5.1329,-27.4854,-15.8879,-10.1742
-7.0128,0.9734,8.7312,-4.5083,-31.4263,8.9076
-3.9476,-2.5815,7.7906,39.2254,-22.0279,39.2254
0.4647,-0.2926,-0.7141,35.3743,-3.8235,27.8817
0.3659,0.6307,-4.3711,39.2254,-8.4827,2.5774
-0.2918,-0.9718,-8.7314,20.6093,-26.8605,4.4616
-1.6513,-1.3398,-8.7314,-35.4605,-39.2266,13.4063
-0.4410,0.4679,0.5742,-39.2266,-14.4801,13.4075
-0.0879,0.2417,3.2735,-1.2713,0.1209,8.8777
-0.6464,0.6408,2.6785,12.8904,1.6185,8.3641
-0.2534,0.6273,-0.6046,11.3832,-0.6847,13.0640
0.4549,-0.2366,-1.0680,-1.3539,-1.7023,7.4484
-0.2294,0.1871,-0.0512,-1.3264,-1.5048,6.6559
-0.3091,0.1047,0.0637,0.8368,-1.7382,8.5844
-0.3182,0.0791,0.0541,0.0718,-1.2617,8.2361
-0.4045,0.2643,0.1881,0.5722,-1.1540,10.1323
-0.5119,0.3483,0.2718,0.6847,-2.0530,17.0515
1.4879,0.1617,0.3232,2.4337,-2.4612,22.4708
2.9775,0.0469,-0.4029,5.4324,-1.3898,12.8916
2.9471,0.1138,-1.5343,3.9265,-0.1341,5.8802
2.5018,0.6467,-1.6691,-1.4198,0.5303,4.4664
1.7557,0.2062,-1.0954,-3.4872,1.2845,1.1277
0.7874,0.2531,-0.1958,-3.7373,1.5957,2.9592
0.5385,-0.1458,0.4271,-1.9848,3.2382,3.2286
-0.1037,0.0538,0.4341,0.1197,4.0318,3.7385
-0.2038,-0.1908,0.4618,0.5806,4.5095,5.6755
-0.3304,-0.0650,0.1431,0.9792,4.8135,6.4428
-0.4437,0.0919,0.1434,0.9445,4.5167,7.6926
-0.3104,0.0687,0.0365,0.2993,4.2090,8.6347
-0.1740,0.1620,0.0216,0.9804,4.3347,8.3462
0.0216,0.0165,-0.1212,-0.0347,4.3622,8.5617
0.0280,0.0131,-0.0975,-0.4717,4.5729,6.8869
-0.1082,0.1793,0.0528,-1.0283,4.1192,7.4735
-0.0051,0.2161,0.2110,-0.4334,4.1922,7.7093
-0.0242,0.3611,0.1300,0.4202,4.3922,7.7824
0.0871,0.8620,-0.1021,-0.6105,3.3160,7.2377
0.3672,2.1293,-0.7075,-2.2398,-1.1037,1.9201
-0.2886,0.4455,-1.7389,-32.8389,-15.5743,-11.6586
-6.3082,-0.1660,8.7312,-39.2266,-39.2266,-20.8942
-7.3621,-1.3257,8.7312,39.2254,-39.2266,39.2254
-0.7887,-0.6512,1.0445,39.2254,-9.6977,30.9415
0.8460,0.0698,-1.2979,39.2254,-2.4325,15.2918
-0.1415,0.2670,-7.8745,26.0573,-18.3839,-3.3399
-0.5335,-1.3371,-8.7314,-0.6740,-26.6906,5.6671
-0.7703,-0.4892,-5.9309,-39.2266,-24.7644,17.4238
-1.1972,0.6587,1.6587,-10.2843,-4.6902,10.5058
-0.4501,0.1338,1.0850,5.5450,0.5231,11.1019
